,購入日時,商品名,価格,販売者名(URL),商品ＩＤ,商品URL
0,2021年10月13日 0:56,ヤバい集中力 1日ブッ通しでアタマが冴えわたる神ライフハック45,800.0,Hamagorisan (https://jp.mercari.com/user/profile/966089799),m54098546243,https://jp.mercari.com/item/m54098546243
1,2021年10月13日 0:52,先延ばしは1冊のノートでなくなる,390.0,imymemine (https://jp.mercari.com/user/profile/210957961),m25740680815,https://jp.mercari.com/item/m25740680815
2,2021年10月12日 13:34,ノートパソコン ホルダー スタンド 黒色 台 タブレット 読書 PCスタンド,599.0,Tomato (https://jp.mercari.com/user/profile/691621291),m81396050145,https://jp.mercari.com/item/m81396050145
